OrderNumber,CustomerCode,OrderDate,RequiredDate,SalesPersonCode,ShippingMethod,PaymentTerms,Status,Priority,TotalAmount,Tax,Currency,BillingAddress,ShippingAddress
SO20250820023,CUST0112,2025-07-26,2025-09-03,SALES008,Ground,NET45,Open,High,3896.6099999999997,288.64,CAD,1960 Second St Generic City MI 82410,1960 Second St Generic City MI 82410
SO20250820024,CUST0069,2025-08-05,2025-08-23,SALES003,Ground,NET45,Open,Low,3598.2,297.1,USD,4737 Elm Rd Generic City AZ 94084,4737 Elm Rd Generic City AZ 94084
SO20250820025,CUST0429,2025-08-14,2025-08-23,SALES002,Overnight,Wire Transfer,Cancelled,Low,2075.97,171.41,EUR,4446 Elm St Tampa FL 81615,4446 Elm St Tampa FL 81615
SO20250820026,CUST0350,2025-07-28,2025-09-02,SALES006,Express,Wire Transfer,Delivered,Urgent,1951.47,114.79,USD,1930 Main Dr San Francisco CA 71252,1930 Main Dr San Francisco CA 71252
SO20250820027,CUST0372,2025-08-11,2025-08-23,SALES004,Express,COD,Delivered,Low,3993.9700000000003,234.94,CAD,1950 Washington Dr Generic City GA 71378,2323 Warehouse St Generic City VA 33529
SO20250820028,CUST0164,2025-08-17,2025-08-26,SALES004,Freight,COD,On Hold,High,2354.19,164.25,USD,768 Park Rd Buffalo NY 49173,768 Park Rd Buffalo NY 49173
SO20250820029,CUST0352,2025-07-26,2025-08-26,SALES004,Pickup,NET15,Shipped,Low,4218.24,248.13,EUR,1316 Main Blvd Generic City NC 13600,1316 Main Blvd Generic City NC 13600
SO20250820030,CUST0408,2025-08-10,2025-08-21,SALES005,Freight,NET45,Processing,High,5032.5199999999995,383.54,USD,8360 First Dr Jacksonville FL 69255,8360 First Dr Jacksonville FL 69255
SO20250820031,CUST0026,2025-07-28,2025-08-21,SALES004,Ground,Wire Transfer,Delivered,Urgent,3523.6800000000003,207.28,CAD,5374 First St Generic City MA 21037,5374 First St Generic City MA 21037
SO20250820032,CUST0084,2025-08-06,2025-08-23,SALES008,Pickup,Credit Card,Delivered,Normal,3013.92,248.86,USD,3970 Oak St Oakland CA 57317,3970 Oak St Oakland CA 57317
SO20250820033,CUST0385,2025-08-15,2025-08-22,SALES004,2-Day,NET15,Delivered,Normal,2862.4900000000002,168.38,EUR,6061 Main Ave Generic City MI 49695,6061 Main Ave Generic City MI 49695
SO20250820034,CUST0162,2025-08-18,2025-08-22,SALES008,Pickup,Wire Transfer,On Hold,High,4271.0,251.24,CAD,4548 Park Blvd San Antonio TX 67662,4548 Park Blvd San Antonio TX 67662
SO20250820035,CUST0468,2025-08-04,2025-08-29,SALES007,Express,Wire Transfer,Cancelled,Low,4834.58,358.12,USD,5144 Elm Blvd Generic City GA 81175,5144 Elm Blvd Generic City GA 81175
SO20250820036,CUST0482,2025-08-13,2025-08-29,SALES002,Freight,NET15,Open,Low,4442.77,329.09,EUR,6688 Second Dr Generic City OH 64538,2217 Business Rd Generic City MI 62311
SO20250820037,CUST0378,2025-08-20,2025-08-22,SALES008,Ground,Credit Card,Processing,Low,2310.8999999999996,171.18,USD,7746 Washington St Generic City MA 26899,9195 Commerce Blvd Generic City NJ 55876
SO20250820038,CUST0491,2025-08-13,2025-08-25,SALES008,Freight,NET30,Delivered,Urgent,1770.36,123.51,EUR,5888 Elm Rd New York NY 94453,5888 Elm Rd New York NY 94453
SO20250820039,CUST0273,2025-08-12,2025-08-29,SALES008,Express,NET45,Cancelled,Urgent,5260.4400000000005,367.01,EUR,3621 Elm Blvd Generic City MI 71944,2777 Business St Generic City NJ 90269
SO20250820040,CUST0125,2025-08-02,2025-08-29,SALES007,Pickup,COD,Processing,High,1583.9299999999998,117.33,CAD,4170 Park Rd Albany NY 40476,4170 Park Rd Albany NY 40476
SO20250820041,CUST0389,2025-08-08,2025-09-02,SALES006,Express,Wire Transfer,Processing,Low,3598.7599999999998,274.27,USD,7854 Oak Blvd Generic City WA 39589,148 Corporate Ave Generic City AZ 17408
SO20250820042,CUST0437,2025-08-17,2025-08-27,SALES007,Express,NET30,Shipped,Low,1446.8700000000001,100.94,USD,3315 First Blvd Generic City PA 33206,6672 Industrial Rd Generic City OH 82955
SO20250820043,CUST0215,2025-08-15,2025-08-24,SALES004,2-Day,COD,Open,High,1477.88,109.47,EUR,3432 First Blvd San Diego CA 29306,3432 First Blvd San Diego CA 29306
SO20250820044,CUST0054,2025-08-06,2025-08-26,SALES005,Freight,NET45,Shipped,High,3467.57,241.92,USD,3043 Washington Blvd Generic City NJ 59619,3043 Washington Blvd Generic City NJ 59619
SO20250820045,CUST0057,2025-07-23,2025-08-26,SALES002,Express,Credit Card,Open,Low,1517.5600000000002,115.66,EUR,4223 Elm Dr Generic City MI 47784,4223 Elm Dr Generic City MI 47784
SO20250820046,CUST0306,2025-07-23,2025-08-29,SALES008,Express,NET45,Delivered,Normal,1211.34,100.02,EUR,6238 Washington Rd Generic City NC 25499,6238 Washington Rd Generic City NC 25499
SO20250820047,CUST0438,2025-08-20,2025-08-21,SALES008,2-Day,NET15,Shipped,High,4294.45,299.61,CAD,3943 Main Blvd Generic City GA 71018,4361 Business Ave Generic City NC 19990
SO20250820048,CUST0014,2025-07-28,2025-08-29,SALES002,Express,NET45,Delivered,High,4062.2,335.41,EUR,2852 First Ave Generic City NJ 16218,4501 Corporate St Generic City NJ 65807
SO20250820049,CUST0216,2025-07-28,2025-09-01,SALES007,Ground,Wire Transfer,Open,Urgent,1352.6999999999998,103.09,CAD,2509 Washington St Generic City MI 78009,6420 Business St Generic City MI 65671
SO20250820050,CUST0040,2025-07-24,2025-09-02,SALES005,Overnight,NET15,Shipped,Low,625.68,43.65,CAD,3229 Main Dr Houston TX 15780,3229 Main Dr Houston TX 15780
SO20250820051,CUST0131,2025-07-27,2025-08-21,SALES003,Overnight,NET30,Closed,Urgent,3413.19,200.78,USD,6507 Main Blvd Fort Worth TX 90884,6507 Main Blvd Fort Worth TX 90884
SO20250820052,CUST0073,2025-08-09,2025-08-21,SALES008,Freight,COD,On Hold,Urgent,2755.09,204.08,USD,1205 First St Dallas TX 46472,6526 Commerce Dr Rochester NY 39207
SO20250820053,CUST0432,2025-08-05,2025-08-23,SALES004,Pickup,Credit Card,Delivered,Low,3133.7799999999997,218.64,EUR,9913 Elm Rd Generic City VA 45816,9913 Elm Rd Generic City VA 45816
SO20250820054,CUST0166,2025-07-30,2025-08-28,SALES007,Express,COD,Cancelled,Normal,207.51,15.37,CAD,9943 Elm Rd Generic City GA 37390,9943 Elm Rd Generic City GA 37390
SO20250820055,CUST0223,2025-08-20,2025-08-28,SALES005,Pickup,Wire Transfer,Open,Low,3219.6600000000003,265.84,CAD,5284 Main Blvd Generic City VA 40131,5284 Main Blvd Generic City VA 40131
SO20250820056,CUST0500,2025-08-13,2025-08-26,SALES007,Pickup,NET15,On Hold,Normal,4166.67,317.55,EUR,7071 Elm St Generic City NJ 90924,7071 Elm St Generic City NJ 90924
SO20250820057,CUST0183,2025-08-11,2025-08-31,SALES008,Overnight,NET15,Delivered,High,4245.89,249.76,USD,4867 Oak Dr Oakland CA 31652,4867 Oak Dr Oakland CA 31652
SO20250820058,CUST0195,2025-08-11,2025-09-03,SALES005,Ground,Credit Card,Open,Normal,1899.6100000000001,140.71,USD,3936 First Dr Generic City NC 58955,3936 First Dr Generic City NC 58955
SO20250820059,CUST0081,2025-07-26,2025-08-25,SALES004,Overnight,COD,On Hold,High,4463.84,340.2,EUR,5387 Second Ave Generic City MA 73680,5877 Industrial Blvd Naperville IL 19967
SO20250820060,CUST0088,2025-08-15,2025-08-26,SALES005,Overnight,COD,On Hold,Low,3580.6,265.23,USD,7969 Park Ave Generic City AZ 91417,7969 Park Ave Generic City AZ 91417
SO20250820061,CUST0352,2025-07-27,2025-09-03,SALES007,2-Day,NET30,Processing,Urgent,1429.25,118.01,EUR,2429 Main Ave Generic City MI 97133,2429 Main Ave Generic City MI 97133
SO20250820062,CUST0138,2025-08-19,2025-08-28,SALES001,Ground,Credit Card,Shipped,Low,3052.81,179.58,USD,6896 Park Blvd Springfield IL 71575,5682 Commerce Ave Tallahassee FL 98567
SO20250820063,CUST0483,2025-08-01,2025-09-03,SALES008,Overnight,Wire Transfer,Processing,High,3349.67,255.29,USD,7216 Elm Ave Springfield IL 12852,7216 Elm Ave Springfield IL 12852
SO20250820064,CUST0262,2025-08-09,2025-08-23,SALES001,Overnight,NET30,Processing,High,465.79999999999995,38.46,EUR,3194 Second Ave Generic City GA 78325,3194 Second Ave Generic City GA 78325
SO20250820065,CUST0196,2025-07-23,2025-08-26,SALES004,Pickup,NET30,Cancelled,Low,607.05,50.12,USD,6401 Main Ave Generic City GA 36520,1101 Warehouse Blvd Generic City VA 48256
SO20250820066,CUST0145,2025-08-18,2025-08-29,SALES005,Express,COD,Cancelled,Urgent,3550.45,208.85,EUR,1528 Oak Dr Generic City MI 82525,1528 Oak Dr Generic City MI 82525
SO20250820067,CUST0375,2025-08-15,2025-08-31,SALES002,Ground,Credit Card,Processing,Urgent,3938.23,300.14,CAD,7553 Oak Dr Generic City GA 54835,5197 Business Blvd Generic City GA 49163
SO20250820068,CUST0170,2025-08-01,2025-08-21,SALES004,2-Day,Credit Card,Open,High,1115.7399999999998,65.63,USD,2389 Second Rd Generic City MA 36780,2389 Second Rd Generic City MA 36780
SO20250820069,CUST0191,2025-08-14,2025-08-24,SALES001,Freight,Credit Card,Cancelled,Normal,3731.52,260.34,EUR,3471 First St Generic City MA 50806,5610 Commerce Dr Generic City NC 12993
SO20250820070,CUST0074,2025-08-08,2025-08-25,SALES001,Overnight,NET30,On Hold,Urgent,2114.92,156.66,EUR,2120 Elm Blvd San Diego CA 50069,2675 Commerce Dr Generic City GA 47440
SO20250820071,CUST0288,2025-08-13,2025-09-01,SALES005,Pickup,NET30,Delivered,Urgent,348.72,28.79,CAD,9386 First Dr San Antonio TX 32134,9386 First Dr San Antonio TX 32134
SO20250820072,CUST0342,2025-08-19,2025-08-23,SALES004,Pickup,NET45,Closed,Normal,2483.4700000000003,146.09,USD,8898 First Rd Generic City PA 83313,8898 First Rd Generic City PA 83313
SO20250820073,CUST0044,2025-08-02,2025-08-31,SALES005,Freight,NET45,Open,Urgent,3339.93,196.47,EUR,5237 Washington Dr Generic City VA 96089,4219 Business Ave Rockford IL 41228
SO20250820074,CUST0423,2025-08-02,2025-08-21,SALES001,2-Day,NET15,Shipped,Normal,4764.89,393.43,CAD,5510 First Dr Generic City GA 11223,8096 Warehouse Blvd Generic City NC 15905
SO20250820075,CUST0064,2025-07-23,2025-08-31,SALES005,Overnight,COD,Open,Normal,2674.04,198.08,USD,8349 Elm St Generic City VA 17509,7660 Corporate St Chicago IL 93262
SO20250820076,CUST0254,2025-08-13,2025-08-25,SALES007,Ground,Wire Transfer,Processing,Low,576.5400000000001,42.71,USD,9724 Park Ave Generic City VA 99814,5835 Corporate Blvd Generic City OH 33263
SO20250820077,CUST0250,2025-08-09,2025-08-25,SALES003,Pickup,Credit Card,Cancelled,Normal,4127.99,314.6,CAD,1579 First St Generic City NJ 65430,5793 Business Dr Generic City OH 24393
SO20250820078,CUST0355,2025-08-10,2025-08-26,SALES007,Pickup,COD,Open,Urgent,3074.25,253.84,CAD,4024 Second Ave Fort Worth TX 60857,4024 Second Ave Fort Worth TX 60857
SO20250820079,CUST0328,2025-08-20,2025-08-26,SALES006,2-Day,NET15,Cancelled,Urgent,4595.22,270.31,USD,5575 Second Ave Tallahassee FL 34558,5575 Second Ave Tallahassee FL 34558
SO20250820080,CUST0465,2025-08-09,2025-08-22,SALES003,2-Day,COD,Closed,Urgent,3174.35,186.73,USD,9398 Second Blvd Generic City NJ 83143,9598 Corporate Rd Generic City VA 49868
SO20250820081,CUST0270,2025-08-05,2025-08-30,SALES007,Pickup,NET30,Open,Urgent,364.8,25.45,CAD,4357 Elm Ave Generic City NJ 60945,4357 Elm Ave Generic City NJ 60945
SO20250820082,CUST0426,2025-08-15,2025-08-23,SALES006,Freight,Wire Transfer,Open,Urgent,753.4000000000001,44.32,USD,4713 Second Rd Albany NY 11308,4713 Second Rd Albany NY 11308
SO20250820083,CUST0200,2025-08-14,2025-08-22,SALES002,Freight,Credit Card,On Hold,Urgent,2507.63,147.51,EUR,3806 Washington Dr Generic City PA 10580,3806 Washington Dr Generic City PA 10580
SO20250820084,CUST0077,2025-08-15,2025-08-24,SALES001,Overnight,NET30,Shipped,Urgent,1155.7299999999998,85.61,CAD,6515 Park Blvd Generic City GA 31784,1163 Commerce Blvd Generic City NC 11100
SO20250820085,CUST0430,2025-07-29,2025-08-21,SALES004,Pickup,NET30,Delivered,Normal,1213.79,84.68,CAD,7382 First Dr Generic City WA 37134,3856 Business Dr Generic City PA 20598
SO20250820086,CUST0060,2025-08-03,2025-08-29,SALES003,Ground,NET30,On Hold,Low,4678.16,386.27,CAD,2373 Elm St Generic City NC 83686,2373 Elm St Generic City NC 83686
SO20250820087,CUST0471,2025-07-31,2025-08-31,SALES002,Pickup,NET15,Open,Normal,2572.21,212.38,USD,6511 Second Dr Generic City WA 61543,6511 Second Dr Generic City WA 61543
SO20250820088,CUST0334,2025-07-28,2025-08-30,SALES005,Overnight,NET30,Closed,Low,900.62,66.71,EUR,5609 Main Ave Generic City NC 36352,2934 Warehouse Blvd Generic City GA 14045
SO20250820089,CUST0427,2025-08-13,2025-08-28,SALES006,Express,NET45,Cancelled,Normal,3566.5699999999997,248.83,EUR,2166 Washington Dr Peoria IL 53256,2166 Washington Dr Peoria IL 53256
SO20250820090,CUST0426,2025-08-17,2025-08-30,SALES006,Ground,Wire Transfer,Processing,Low,2212.52,168.62,EUR,1198 Oak Dr San Antonio TX 53222,1198 Oak Dr San Antonio TX 53222
SO20250820091,CUST0435,2025-07-24,2025-08-30,SALES005,Freight,Credit Card,Open,High,4367.25,360.6,EUR,8337 Oak St Tallahassee FL 19677,8337 Oak St Tallahassee FL 19677
SO20250820092,CUST0142,2025-08-02,2025-08-28,SALES008,Overnight,COD,Shipped,Low,2156.66,126.86,CAD,7316 Second Blvd Generic City AZ 28044,7316 Second Blvd Generic City AZ 28044
SO20250820093,CUST0086,2025-07-21,2025-08-23,SALES007,Ground,Credit Card,Cancelled,High,3876.86,320.11,EUR,2246 Park Blvd Generic City AZ 83649,3208 Business Blvd Generic City MI 70033
SO20250820094,CUST0246,2025-07-25,2025-09-02,SALES007,Overnight,NET15,Cancelled,Normal,1889.0700000000002,139.93,USD,9645 Washington St Generic City WA 58169,9645 Washington St Generic City WA 58169
SO20250820095,CUST0369,2025-08-08,2025-09-01,SALES008,Freight,NET30,Processing,Normal,5230.2699999999995,431.86,USD,2017 Park Blvd Generic City OH 21398,2017 Park Blvd Generic City OH 21398
SO20250820096,CUST0236,2025-08-20,2025-08-27,SALES007,Ground,Credit Card,On Hold,High,2265.3700000000003,187.05,CAD,7281 Oak St Generic City NC 97679,7281 Oak St Generic City NC 97679
SO20250820097,CUST0463,2025-07-24,2025-08-24,SALES004,Freight,Credit Card,Open,Low,116.03999999999999,9.58,EUR,7910 Second Ave Generic City OH 68048,7910 Second Ave Generic City OH 68048
SO20250820098,CUST0009,2025-08-14,2025-08-31,SALES008,Express,NET45,On Hold,High,5342.45,407.16,CAD,115 Second St Generic City OH 85930,115 Second St Generic City OH 85930
SO20250820099,CUST0002,2025-08-09,2025-08-27,SALES006,Overnight,NET45,On Hold,Normal,2625.5899999999997,154.45,CAD,7482 Oak Rd Rockford IL 41980,7482 Oak Rd Rockford IL 41980
SO20250820100,CUST0129,2025-07-28,2025-08-30,SALES001,Freight,Wire Transfer,Shipped,High,4879.5,402.89,CAD,920 Washington Blvd Generic City VA 77827,1052 Industrial Blvd Generic City OH 37832
SO20250820101,CUST0049,2025-08-16,2025-08-30,SALES003,Overnight,COD,Processing,High,5366.04,443.07,USD,9333 First Rd Generic City NJ 16782,9333 First Rd Generic City NJ 16782
SO20250820102,CUST0435,2025-08-18,2025-09-02,SALES005,Overnight,NET15,On Hold,High,4095.3,240.9,USD,9601 Elm St Dallas TX 14577,9601 Elm St Dallas TX 14577
SO20250820103,CUST0266,2025-08-04,2025-08-26,SALES005,Overnight,COD,On Hold,Normal,3948.37,292.47,USD,9479 Oak Rd Generic City AZ 93391,1814 Industrial St Generic City NC 85284
SO20250820104,CUST0272,2025-08-10,2025-08-30,SALES007,Overnight,NET15,Closed,Normal,627.5,36.91,CAD,8972 Elm Blvd Springfield IL 95818,1210 Commerce St Rochester NY 86405
SO20250820105,CUST0336,2025-08-19,2025-08-24,SALES006,Freight,NET45,On Hold,Low,950.44,78.48,CAD,5236 Park Dr San Francisco CA 91454,5236 Park Dr San Francisco CA 91454
SO20250820106,CUST0421,2025-08-02,2025-08-21,SALES004,Express,NET30,Closed,Urgent,5344.22,407.3,CAD,2808 Washington Rd San Antonio TX 85659,3409 Business St Generic City MA 94890
SO20250820107,CUST0109,2025-08-02,2025-08-30,SALES008,Freight,NET30,Closed,Urgent,1597.96,111.49,USD,8464 Oak Dr Generic City NC 41302,8464 Oak Dr Generic City NC 41302
SO20250820108,CUST0388,2025-08-02,2025-08-31,SALES004,Pickup,Credit Card,On Hold,Urgent,1020.56,77.78,USD,172 Second St Generic City NC 55645,9126 Business St Generic City NC 39158
SO20250820109,CUST0115,2025-07-25,2025-09-03,SALES002,Ground,COD,Closed,Urgent,1881.98,143.43,CAD,8182 Main Rd Generic City AZ 27903,646 Industrial St Generic City WA 30458
SO20250820110,CUST0272,2025-08-06,2025-08-26,SALES008,2-Day,NET15,Shipped,Normal,3627.27,213.37,USD,6294 Second Dr Generic City OH 79450,6294 Second Dr Generic City OH 79450
SO20250820111,CUST0305,2025-07-24,2025-08-31,SALES003,2-Day,Credit Card,Delivered,Normal,1788.25,136.29,USD,4717 Park Dr Jacksonville FL 72472,1652 Business Blvd Generic City VA 39999
SO20250820112,CUST0232,2025-08-09,2025-09-02,SALES003,2-Day,COD,Cancelled,High,3712.2299999999996,306.51,EUR,2385 Elm Dr Rochester NY 95812,1943 Warehouse Blvd Generic City MI 23661
SO20250820113,CUST0391,2025-07-22,2025-08-22,SALES002,2-Day,Wire Transfer,Delivered,Urgent,4302.62,355.26,CAD,7635 Second Blvd San Diego CA 65110,7635 Second Blvd San Diego CA 65110
SO20250820114,CUST0019,2025-07-31,2025-08-26,SALES001,Pickup,COD,On Hold,Low,2735.6800000000003,190.86,USD,4346 Second Blvd Generic City AZ 17934,4346 Second Blvd Generic City AZ 17934
SO20250820115,CUST0249,2025-08-10,2025-08-29,SALES007,Ground,NET30,Cancelled,High,2058.92,143.65,USD,4101 First Rd Generic City WA 57128,4101 First Rd Generic City WA 57128
SO20250820116,CUST0394,2025-08-10,2025-08-28,SALES001,2-Day,NET15,Shipped,High,4594.0,320.51,CAD,9011 Main Ave Tallahassee FL 31782,7701 Commerce Dr Generic City NJ 24431
SO20250820117,CUST0341,2025-08-04,2025-09-01,SALES007,Express,Wire Transfer,Cancelled,Urgent,5178.59,383.6,CAD,3632 Elm Dr Generic City OH 13222,3632 Elm Dr Generic City OH 13222
SO20250820118,CUST0285,2025-08-09,2025-08-31,SALES005,Overnight,Credit Card,On Hold,Urgent,2226.34,130.96,EUR,2112 Washington Rd Generic City AZ 30318,2112 Washington Rd Generic City AZ 30318
SO20250820119,CUST0293,2025-07-21,2025-08-25,SALES002,Pickup,NET30,Cancelled,Normal,2737.66,161.04,CAD,4042 Elm Rd Rochester NY 42860,6006 Business Blvd Oakland CA 58241
SO20250820120,CUST0143,2025-08-18,2025-09-03,SALES003,2-Day,Credit Card,Closed,Normal,1427.29,83.96,USD,5787 Second Ave Generic City MA 13668,5787 Second Ave Generic City MA 13668
SO20250820121,CUST0469,2025-08-15,2025-08-29,SALES003,Overnight,COD,Processing,High,4634.46,272.62,CAD,6002 Second St Generic City GA 65919,2381 Commerce Ave Generic City NC 29367
SO20250820122,CUST0400,2025-07-28,2025-09-02,SALES006,Ground,Credit Card,Delivered,Normal,4904.01,363.26,CAD,4983 Second Dr Springfield IL 16624,4983 Second Dr Springfield IL 16624
SO20250820123,CUST0269,2025-07-25,2025-09-03,SALES003,Express,NET15,Closed,Normal,2950.5099999999998,205.85,EUR,6572 Second Ave Generic City MI 61502,6572 Second Ave Generic City MI 61502
SO20250820124,CUST0204,2025-08-14,2025-08-24,SALES001,Freight,NET45,Delivered,Low,2567.68,195.69,USD,3960 Oak Dr Generic City NC 50841,3960 Oak Dr Generic City NC 50841
SO20250820125,CUST0264,2025-07-25,2025-09-02,SALES005,Pickup,COD,Shipped,Low,2358.42,164.54,CAD,666 Oak St Generic City AZ 18003,6460 Corporate Ave Generic City VA 59197
SO20250820126,CUST0221,2025-08-15,2025-09-02,SALES003,Freight,NET45,Shipped,High,433.74,25.51,EUR,7533 Park Dr Generic City NJ 29957,7533 Park Dr Generic City NJ 29957
SO20250820127,CUST0295,2025-08-09,2025-08-22,SALES002,Pickup,NET15,Closed,High,481.71,36.71,EUR,816 Elm St Generic City WA 33941,4952 Corporate Rd Generic City MA 12305
SO20250820128,CUST0327,2025-08-17,2025-08-28,SALES005,Freight,Wire Transfer,Shipped,Normal,4924.96,375.34,USD,4645 Main St Generic City MA 64580,4645 Main St Generic City MA 64580
SO20250820129,CUST0252,2025-08-03,2025-08-29,SALES005,2-Day,COD,On Hold,Normal,4925.84,375.41,CAD,4586 Oak Ave Houston TX 78790,4586 Oak Ave Houston TX 78790
SO20250820130,CUST0178,2025-08-12,2025-09-01,SALES005,Ground,COD,Open,Low,3709.53,258.8,EUR,492 Oak Ave Generic City NC 96667,492 Oak Ave Generic City NC 96667
SO20250820131,CUST0178,2025-07-31,2025-09-01,SALES001,Overnight,COD,Delivered,Low,2931.96,204.56,USD,2099 Second St Generic City NJ 43387,2099 Second St Generic City NJ 43387
SO20250820132,CUST0390,2025-08-10,2025-08-26,SALES005,Pickup,NET15,Processing,Normal,4121.320000000001,340.29,USD,3047 Park Rd New York NY 19466,3047 Park Rd New York NY 19466
SO20250820133,CUST0335,2025-08-15,2025-08-21,SALES006,Express,NET15,On Hold,Urgent,2932.86,172.52,USD,2823 First St Generic City OH 52940,2326 Business Rd Generic City GA 18304
SO20250820134,CUST0119,2025-07-23,2025-08-30,SALES005,Express,NET15,Processing,Normal,297.61,20.76,CAD,6611 Washington Ave Naperville IL 41419,6611 Washington Ave Naperville IL 41419
SO20250820135,CUST0259,2025-07-21,2025-08-25,SALES005,Ground,Wire Transfer,On Hold,Normal,3488.04,258.37,CAD,9668 Park Blvd Tallahassee FL 30232,8694 Commerce Ave Generic City NC 39460
SO20250820136,CUST0014,2025-08-04,2025-08-27,SALES005,Ground,NET45,Closed,Urgent,4530.01,374.04,EUR,5331 Washington St Fort Worth TX 53607,8474 Corporate St Generic City WA 53854
SO20250820137,CUST0300,2025-08-20,2025-09-03,SALES006,Ground,Credit Card,Processing,Normal,2620.89,154.17,USD,8018 First Blvd Generic City MI 43705,8018 First Blvd Generic City MI 43705
SO20250820138,CUST0354,2025-08-13,2025-08-30,SALES002,Pickup,NET15,Delivered,Low,4995.12,293.83,USD,5941 Second Rd Orlando FL 99076,8782 Corporate Blvd Generic City VA 98369
